,Feature Extractor,Dataset,Method,Fold,Sample Size,P,loss
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
2,ResNet34,NICO++,KN,dim,10,1,4.815113702595989
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
