,ind_dataset,ood_dataset,rep_model,sample_size,vanilla_p,kn_p,loss
75,cifar100,cifar100_0.0,Wrapped,100,6.938063080077104e-24,0.004368308046293661,6.732895245328546
76,cifar100,cifar100_0.0,Wrapped,100,2.679320812778574e-48,0.004368308046293661,7.5086929478868845
77,cifar100,cifar100_0.0,Wrapped,100,7.259401662500708e-41,0.00013209773447200317,4.264881098370824
78,cifar100,cifar100_0.0,Wrapped,100,5.711195911542921e-30,0.005638388773359207,4.372656926984282
79,cifar100,cifar100_0.0,Wrapped,100,5.653728140913546e-34,0.00336559330702058,3.3433411516332785
80,cifar100,cifar100_0.0,Wrapped,100,1.1287926668402835e-26,0.020791997193519672,3.2690526491493572
81,cifar100,cifar100_0.0,Wrapped,100,2.8564488643729437e-25,0.016604826009144452,6.922846676424233
82,cifar100,cifar100_0.0,Wrapped,100,2.081864424378313e-31,0.025892518939781218,2.082692512323592
83,cifar100,cifar100_0.0,Wrapped,100,1.2393492094534267e-33,0.006392541507766507,2.8163650652265644
84,cifar100,cifar100_0.0,Wrapped,100,1.1877218215711935e-31,0.009239025221501678,2.892688616500818
85,cifar100,cifar100_0.0,Wrapped,100,4.64129286584309e-29,0.014808406583149046,3.7229231061041355
86,cifar100,cifar100_0.0,Wrapped,100,3.420730974213059e-14,0.018593599293376836,5.307664102241397
87,cifar100,cifar100_0.0,Wrapped,100,1.0099076909319527e-42,5.7528197212761714e-05,6.187415552567691
88,cifar100,cifar100_0.0,Wrapped,100,6.130591770040247e-33,0.008182925625578114,7.170243418881364
89,cifar100,cifar100_0.0,Wrapped,100,2.813202725116203e-14,0.004966324542922391,5.195004358783621
90,cifar100,cifar100_0.0,Wrapped,100,1.6611251328035757e-33,0.004368308046293661,5.840015371197951
91,cifar100,cifar100_0.0,Wrapped,100,4.3949141874027306e-55,0.002948022173855442,9.081537439890676
92,cifar100,cifar100_0.0,Wrapped,100,1.5757706565445253e-49,0.018593599293376836,5.496703108930379
93,cifar100,cifar100_0.0,Wrapped,100,2.6664355936959665e-24,0.04374847081530197,5.169556564264931
94,cifar100,cifar100_0.0,Wrapped,100,2.6719591026347326e-21,0.0009715963032051572,4.619962805279065
95,cifar100,cifar100_0.0,Wrapped,100,6.120196434576942e-45,0.0012931184410822332,3.50504131799069
96,cifar100,cifar100_0.0,Wrapped,100,2.5204806460099076e-34,3.434171631446249e-05,4.605688178337878
97,cifar100,cifar100_0.0,Wrapped,100,5.737335937023581e-22,0.0011216728818783154,4.853792289608973
98,cifar100,cifar100_0.0,Wrapped,100,7.886606777988512e-74,0.0001121839242442519,8.06994144609198
0,cifar100,cifar100_0.02,Wrapped,100,3.500041397664276e-26,1.7599878664687014e-06,5.898355344399679
